Enter initial value for theta: 500 
Enter stepsize for the points: .01
Enter stepsize: .001

[1.980000,288.049778]  	 mhat: 11940.051618

[1.990000,286.227900]  	 mhat: 12082.226155

[2.000000,284.402935]  	 mhat: 12224.924810

[2.010000,282.574959]  	 mhat: 12368.134928

[2.020000,280.744053]  	 mhat: 12511.843709

[2.030000,278.910295]  	 mhat: 12656.038214

[2.040000,277.073763]  	 mhat: 12800.705360

[2.050000,275.234536]  	 mhat: 12945.831925

[2.060000,273.392693]  	 mhat: 13091.404549

[2.070000,271.548313]  	 mhat: 13237.409734

[2.080000,269.886268]  	 mhat: 13369.172973

[2.090000,268.037286]  	 mhat: 13515.962347

[2.100000,266.185996]  	 mhat: 13663.144371

[2.110000,264.332478]  	 mhat: 13810.705023

[2.120000,262.476811]  	 mhat: 13958.630148

[2.130000,260.619074]  	 mhat: 14106.905464

[2.140000,258.759347]  	 mhat: 14255.516561

[2.150000,256.897709]  	 mhat: 14404.448898

[2.160000,255.034239]  	 mhat: 14553.687814

[2.170000,253.169017]  	 mhat: 14703.218521

[2.180000,251.302122]  	 mhat: 14853.026108

[2.190000,249.433635]  	 mhat: 15003.095544

[2.200000,247.563634]  	 mhat: 15153.411679

[2.210000,245.692199]  	 mhat: 15303.959245

[2.220000,243.819410]  	 mhat: 15454.722855

[2.230000,241.945347]  	 mhat: 15605.687010

[2.240000,240.070088]  	 mhat: 15756.836098

[2.250000,238.193715]  	 mhat: 15908.154392

[2.260000,236.316306]  	 mhat: 16059.626058

[2.270000,234.437941]  	 mhat: 16211.235153

[2.280000,232.558700]  	 mhat: 16362.965627

[2.290000,230.678662]  	 mhat: 16514.801324

[2.300000,228.797908]  	 mhat: 16666.725985

[2.310000,226.916516]  	 mhat: 16818.723251

[2.320000,225.034567]  	 mhat: 16970.776660

[2.330000,223.152141]  	 mhat: 17122.869655

[2.340000,221.269316]  	 mhat: 17274.985581

[2.350000,219.386173]  	 mhat: 17427.107688

[2.360000,217.502791]  	 mhat: 17579.219134

[2.370000,215.619249]  	 mhat: 17731.302985

[2.380000,213.735629]  	 mhat: 17883.342219

[2.390000,211.852008]  	 mhat: 18035.319726

[2.400000,209.968466]  	 mhat: 18187.218310

[2.410000,208.085083]  	 mhat: 18339.020693

[2.420000,206.201939]  	 mhat: 18490.709514

[2.430000,204.319113]  	 mhat: 18642.267333

[2.440000,202.436683]  	 mhat: 18793.676631

[2.450000,200.554731]  	 mhat: 18944.919815

[2.460000,198.673334]  	 mhat: 19095.979217

[2.470000,196.792572]  	 mhat: 19246.837097

[2.480000,194.912525]  	 mhat: 19397.475647

[2.490000,193.033271]  	 mhat: 19547.876988

[2.500000,191.154890]  	 mhat: 19698.023178

[2.510000,189.277461]  	 mhat: 19847.896210

[2.520000,187.401062]  	 mhat: 19997.478016

[2.530000,185.525774]  	 mhat: 20146.750468

[2.540000,183.651674]  	 mhat: 20295.695382

[2.550000,181.778842]  	 mhat: 20444.294515

[2.560000,179.907356]  	 mhat: 20592.529576

[2.570000,178.037296]  	 mhat: 20740.382219

[2.580000,176.168740]  	 mhat: 20887.834052

[2.590000,174.301766]  	 mhat: 21034.866635

[2.600000,172.436454]  	 mhat: 21181.461483

[2.610000,170.572882]  	 mhat: 21327.600071

[2.620000,168.711128]  	 mhat: 21473.263832

[2.630000,166.851270]  	 mhat: 21618.434164

[2.640000,164.993388]  	 mhat: 21763.092427

[2.650000,163.137560]  	 mhat: 21907.219950

[2.660000,161.283864]  	 mhat: 22050.798031

[2.670000,159.432378]  	 mhat: 22193.807940

[2.680000,157.583180]  	 mhat: 22336.230919

[2.690000,155.736349]  	 mhat: 22478.048190

[2.700000,153.891962]  	 mhat: 22619.240951

[2.710000,152.050098]  	 mhat: 22759.790383

[2.720000,150.210835]  	 mhat: 22899.677651

[2.730000,148.374251]  	 mhat: 23038.883905

[2.740000,146.540423]  	 mhat: 23177.390284

[2.750000,144.709430]  	 mhat: 23315.177919

[2.760000,142.881349]  	 mhat: 23452.227936

[2.770000,141.056259]  	 mhat: 23588.521453

[2.780000,139.234238]  	 mhat: 23724.039593

[2.790000,137.415362]  	 mhat: 23858.763476

[2.800000,135.599710]  	 mhat: 23992.674228

[2.810000,133.787360]  	 mhat: 24125.752981

[2.820000,131.978390]  	 mhat: 24257.980878

[2.830000,130.172878]  	 mhat: 24389.339073

[2.840000,128.370900]  	 mhat: 24519.808736

[2.850000,126.572537]  	 mhat: 24649.371054

[2.860000,124.777864]  	 mhat: 24778.007234

[2.870000,122.986961]  	 mhat: 24905.698508

[2.880000,121.199905]  	 mhat: 25032.426134

[2.890000,119.416775]  	 mhat: 25158.171397

[2.900000,117.637649]  	 mhat: 25282.915616

[2.910000,115.862605]  	 mhat: 25406.640146

[2.920000,114.091721]  	 mhat: 25529.326377

[2.930000,112.325077]  	 mhat: 25650.955742

[2.940000,110.562750]  	 mhat: 25771.509719

[2.950000,108.804821]  	 mhat: 25890.969832

[2.960000,107.051367]  	 mhat: 26009.317654

[2.970000,105.302468]  	 mhat: 26126.534816

[2.980000,103.558205]  	 mhat: 26242.603001

[2.990000,101.818656]  	 mhat: 26357.503956

[3.000000,100.083901]  	 mhat: 26471.219489

[3.010000,98.354021]  	 mhat: 26583.731479

[3.020000,96.629097]  	 mhat: 26695.021870

[3.030000,94.909210]  	 mhat: 26805.072686

[3.040000,93.194441]  	 mhat: 26913.866025

[3.050000,91.484873]  	 mhat: 27021.384068

[3.060000,89.780587]  	 mhat: 27127.609081

[3.070000,88.081667]  	 mhat: 27232.523421

[3.080000,86.388196]  	 mhat: 27336.109537

[3.090000,84.700259]  	 mhat: 27438.349976

[3.100000,83.017941]  	 mhat: 27539.227385

[3.110000,81.341327]  	 mhat: 27638.724520

[3.120000,79.670503]  	 mhat: 27736.824247

[3.130000,78.005558]  	 mhat: 27833.509545

[3.140000,76.346580]  	 mhat: 27928.763516

[3.150000,74.693659]  	 mhat: 28022.569385

[3.160000,73.046884]  	 mhat: 28114.910508

[3.170000,71.406349]  	 mhat: 28205.770375

[3.180000,69.772146]  	 mhat: 28295.132620

[3.190000,68.144371]  	 mhat: 28382.981020

[3.200000,66.523120]  	 mhat: 28469.299508

[3.210000,64.908491]  	 mhat: 28554.072174

[3.220000,63.300586]  	 mhat: 28637.283275

[3.230000,61.699507]  	 mhat: 28718.917239

[3.240000,60.105359]  	 mhat: 28798.958675

[3.250000,58.518249]  	 mhat: 28877.392380

[3.260000,56.938288]  	 mhat: 28954.203346

[3.270000,55.365590]  	 mhat: 29029.376770

[3.280000,53.800272]  	 mhat: 29102.898063

[3.290000,52.242455]  	 mhat: 29174.752857

[3.300000,50.692265]  	 mhat: 29244.927022

[3.310000,49.149830]  	 mhat: 29313.406670

[3.320000,47.615287]  	 mhat: 29380.178173

[3.330000,46.088776]  	 mhat: 29445.228171

[3.340000,44.570443]  	 mhat: 29508.543591

[3.350000,43.060444]  	 mhat: 29570.111660

[3.360000,41.558941]  	 mhat: 29629.919921

[3.370000,40.066104]  	 mhat: 29687.956254

[3.380000,38.582114]  	 mhat: 29744.208893

[3.390000,37.107163]  	 mhat: 29798.666453

[3.400000,35.641456]  	 mhat: 29851.317949

[3.410000,34.185212]  	 mhat: 29902.152830

[3.420000,32.738666]  	 mhat: 29951.161004

[3.430000,31.302071]  	 mhat: 29998.332878

[3.440000,29.875702]  	 mhat: 30043.659392

[3.450000,28.459859]  	 mhat: 30087.132069

[3.460000,27.054868]  	 mhat: 30128.743060

[3.470000,25.661091]  	 mhat: 30168.485208

