Enter initial value for theta: 40000
Enter stepsize for the points: .01
Enter stepsize: .001

[1.710000,3361.656380]  	 mhat: 83470.107181

[1.720000,3344.584508]  	 mhat: 84709.437041

[1.730000,3327.460587]  	 mhat: 85956.868417

[1.740000,3310.285352]  	 mhat: 87212.317348

[1.750000,3293.059543]  	 mhat: 88475.698190

[1.760000,3275.783900]  	 mhat: 89746.923620

[1.770000,3258.459165]  	 mhat: 91025.904641

[1.780000,3241.086081]  	 mhat: 92312.550592

[1.790000,3223.665394]  	 mhat: 93606.769148

[1.800000,3206.197851]  	 mhat: 94908.466334

[1.810000,3188.684199]  	 mhat: 96217.546525

[1.820000,3171.125190]  	 mhat: 97533.912460

[1.830000,3153.521574]  	 mhat: 98857.465244

[1.840000,3135.874104]  	 mhat: 100188.104357

[1.850000,3118.183534]  	 mhat: 101525.727663

[1.860000,3100.450620]  	 mhat: 102870.231416

[1.870000,3082.676118]  	 mhat: 104221.510270

[1.880000,3064.860787]  	 mhat: 105579.457287

[1.890000,3047.005385]  	 mhat: 106943.963943

[1.900000,3029.110674]  	 mhat: 108314.920141

[1.910000,3011.177414]  	 mhat: 109692.214217

[1.920000,2993.206369]  	 mhat: 111075.732948

[1.930000,2975.198302]  	 mhat: 112465.361567

[1.940000,2957.153978]  	 mhat: 113860.983765

[1.950000,2939.074162]  	 mhat: 115262.481706

[1.960000,2920.959623]  	 mhat: 116669.736037

[1.970000,2902.811127]  	 mhat: 118082.625894

[1.980000,2884.629442]  	 mhat: 119501.028916

[1.990000,2866.415339]  	 mhat: 120924.821255

[2.000000,2848.169588]  	 mhat: 122353.877586

[2.010000,2829.892958]  	 mhat: 123788.071117

[2.020000,2811.586223]  	 mhat: 125227.273603

[2.030000,2793.250154]  	 mhat: 126671.355354

[2.040000,2774.885525]  	 mhat: 128120.185249

[2.050000,2756.493109]  	 mhat: 129573.630747

[2.060000,2738.073680]  	 mhat: 131031.557898

[2.070000,2719.628014]  	 mhat: 132493.831355

[2.080000,2703.005121]  	 mhat: 133813.480580

[2.090000,2684.511738]  	 mhat: 135283.634195

[2.100000,2665.994367]  	 mhat: 136757.733832

[2.110000,2647.453783]  	 mhat: 138235.638816

[2.120000,2628.890765]  	 mhat: 139717.207143

[2.130000,2610.306087]  	 mhat: 141202.295482

[2.140000,2591.700529]  	 mhat: 142690.759198

[2.150000,2573.074868]  	 mhat: 144182.452360

[2.160000,2554.429881]  	 mhat: 145677.227756

[2.170000,2535.766346]  	 mhat: 147174.936910

[2.180000,2517.085041]  	 mhat: 148675.430090

[2.190000,2498.386745]  	 mhat: 150178.556327

[2.200000,2479.672236]  	 mhat: 151684.163427

[2.210000,2460.942292]  	 mhat: 153192.097988

[2.220000,2442.197690]  	 mhat: 154702.205414

[2.230000,2423.439209]  	 mhat: 156214.329925

[2.240000,2404.667628]  	 mhat: 157728.314582

[2.250000,2385.883723]  	 mhat: 159244.001293

[2.260000,2367.088272]  	 mhat: 160761.230833

[2.270000,2348.282053]  	 mhat: 162279.842858

[2.280000,2329.465843]  	 mhat: 163799.675924

[2.290000,2310.640419]  	 mhat: 165320.567498

[2.300000,2291.806556]  	 mhat: 166842.353977

[2.310000,2272.965032]  	 mhat: 168364.870704

[2.320000,2254.116622]  	 mhat: 169887.951985

[2.330000,2235.262102]  	 mhat: 171411.431104

[2.340000,2216.402245]  	 mhat: 172935.140341

[2.350000,2197.537827]  	 mhat: 174458.910987

[2.360000,2178.669622]  	 mhat: 175982.573366

[2.370000,2159.798401]  	 mhat: 177505.956844

[2.380000,2140.924939]  	 mhat: 179028.889856

[2.390000,2122.050006]  	 mhat: 180551.199916

[2.400000,2103.174374]  	 mhat: 182072.713636

[2.410000,2084.298814]  	 mhat: 183593.256748

[2.420000,2065.424095]  	 mhat: 185112.654118

[2.430000,2046.550986]  	 mhat: 186630.729764

[2.440000,2027.680255]  	 mhat: 188147.306877

[2.450000,2008.812670]  	 mhat: 189662.207838

[2.460000,1989.948997]  	 mhat: 191175.254236

[2.470000,1971.090001]  	 mhat: 192686.266885

[2.480000,1952.236447]  	 mhat: 194195.065847

[2.490000,1933.389098]  	 mhat: 195701.470450

[2.500000,1914.548716]  	 mhat: 197205.299302

[2.510000,1895.716064]  	 mhat: 198706.370319

[2.520000,1876.891901]  	 mhat: 200204.500735

[2.530000,1858.076986]  	 mhat: 201699.507129

[2.540000,1839.272078]  	 mhat: 203191.205440

[2.550000,1820.477933]  	 mhat: 204679.410990

[2.560000,1801.695308]  	 mhat: 206163.938500

[2.570000,1782.924955]  	 mhat: 207644.602114

[2.580000,1764.167630]  	 mhat: 209121.215417

[2.590000,1745.424082]  	 mhat: 210593.591454

[2.600000,1726.695064]  	 mhat: 212061.542756

[2.610000,1707.981323]  	 mhat: 213524.881352

[2.620000,1689.283609]  	 mhat: 214983.418797

[2.630000,1670.602666]  	 mhat: 216436.966189

[2.640000,1651.939240]  	 mhat: 217885.334191

[2.650000,1633.294075]  	 mhat: 219328.333052

[2.660000,1614.667913]  	 mhat: 220765.772626

[2.670000,1596.061493]  	 mhat: 222197.462398

[2.680000,1577.475555]  	 mhat: 223623.211500

[2.690000,1558.910836]  	 mhat: 225042.828736

[2.700000,1540.368072]  	 mhat: 226456.122602

[2.710000,1521.847997]  	 mhat: 227862.901309

[2.720000,1503.351344]  	 mhat: 229262.972802

[2.730000,1484.878843]  	 mhat: 230656.144785

[2.740000,1466.431225]  	 mhat: 232042.224741

[2.750000,1448.009215]  	 mhat: 233421.019957

[2.760000,1429.613541]  	 mhat: 234792.337541

[2.770000,1411.244927]  	 mhat: 236155.984448

[2.780000,1392.904095]  	 mhat: 237511.767505

[2.790000,1374.591765]  	 mhat: 238859.493426

[2.800000,1356.308657]  	 mhat: 240198.968842

[2.810000,1338.055488]  	 mhat: 241530.000320

